 0    0    0    0    0    0    0    0   -9    0    1   |  0.000   0.000   0.000   0.000  -0.111
 0    0    0    0    0    0    7    0   -9    0    1   |  0.000   0.000   0.000  -1.286  -0.111
 0    0    0    0    0    0   12    0   -9    0    1   |  0.000   0.000   0.000  -0.750  -0.111
 0    0    0    0    0    0   15    0   -9    0    1   |  0.000   0.000   0.000  -0.600  -0.111
 0    0    0    0    0    0   16    0   -9    0    1   |  0.000   0.000   0.000  -0.563  -0.111
 0    0    0    0    0    0   13    0   -9    0    1   |  0.000   0.000   0.000  -0.692  -0.111
 0    0    0    0    0    0   17    0   -9    0    1   |  0.000   0.000   0.000  -0.529  -0.111
 0    0    0    0    0    0   19    0   -9    0    1   |  0.000   0.000   0.000  -0.474  -0.111
 0    0    0    0   -5    0   13    0   -9    0    1   |  0.000   0.000  -2.600  -0.692  -0.111
 0    0    0    0   -5    0   17    0   -9    0    1   |  0.000   0.000  -3.400  -0.529  -0.111
 0    0    0    0   -8    0   17    0   -9    0    1   |  0.000   0.000  -2.125  -0.529  -0.111
 0    0    0    0   -8    0   20    0   -9    0    1   |  0.000   0.000  -2.500  -0.450  -0.111
 0    0    0    0   -8    0   19    0   -9    0    1   |  0.000   0.000  -2.375  -0.474  -0.111
 0    0    0    0   -9    0   19    0   -9    0    1   |  0.000   0.000  -2.111  -0.474  -0.111
 0    0    0    0   -9    0   21    0   -9    0    1   |  0.000   0.000  -2.333  -0.429  -0.111
 0    0    0    0  -13    0   21    0   -9    0    1   |  0.000   0.000  -1.615  -0.429  -0.111
 0    0    0    0  -12    0   20    0   -9    0    1   |  0.000   0.000  -1.667  -0.450  -0.111
 0    0    0    0  -17    0   23    0   -9    0    1   |  0.000   0.000  -1.353  -0.391  -0.111
 0    0    0    0  -12    0   21    0   -9    0    1   |  0.000   0.000  -1.750  -0.429  -0.111
 0    0    3    0  -13    0   18    0   -9    0    1   |  0.000  -4.333  -1.385  -0.500  -0.111
 0    0    4    0  -17    0   21    0   -9    0    1   |  0.000  -4.250  -1.235  -0.429  -0.111
 0    0    3    0  -17    0   22    0   -9    0    1   |  0.000  -5.667  -1.294  -0.409  -0.111
 0    0    4    0  -20    0   23    0   -9    0    1   |  0.000  -5.000  -1.150  -0.391  -0.111
